Date,"Close Price",Signal
14-June-2018,2890.2,BUY
27-April-2018,2936.8,SELL
4-April-2018,2766.35,BUY
12-March-2018,2960.05,SELL
4-December-2017,3199.95,BUY
9-November-2017,3199.95,SELL
3-November-2017,3223.1,BUY
8-June-2017,2869.25,SELL
12-April-2017,2835.75,BUY
1-March-2017,2773,SELL
20-February-2017,2793.1,BUY
4-November-2016,2813.35,SELL
5-August-2016,2859.85,BUY
2-February-2016,2362.55,SELL
21-January-2016,2274,BUY
15-January-2016,2335.2,SELL
6-November-2015,2422.9,BUY
20-October-2015,2438.3,SELL
30-September-2015,2309.75,BUY
11-August-2015,2541.75,SELL
18-June-2015,2397.35,BUY
2-March-2015,2074.75,SELL
